Couleur
Abricot
Acajou
Aigue-marine
Alizarine
Ambre
Améthyste
Anthracite
Argent
Auburn
Azur
Beige
Bistre
Blanc
Blanc cassé
Bleu
Bleu azur
Bleu ciel
Bleu canard
Bleu clair
Bleu foncé
Bleu glacier
Bleu marine
Bleu nuit
Bleu pétrole
Bleu roi
Bordeaux
Brun
Cacao
Caramel
Carmin
Céladon
Champagne
Chocolat
Ciel
Citron
Coquelicot
Corail
Crème
Cuivre
Cyan
Doré
Écarlate
Émeraude
Fauve
Framboise
Fuchsia
Galet
Grège
Gris
Gris acier
Gris ardoise
Gris clair
Gris foncé
Gris perle
Indigo
Ivoire
Jaune
Jaune canari
Jaune citron
Jaune d'or
Jaune moutarde
Jaune pâle
Kaki
Lavande
Lilas
Lime
Lin
Magenta
Malachite
Mandarine
Marron
Mauve
Menthe
Moka
Moutarde
Nacré
Noir
Ocre
Olive
Opaline
Or
Orange
Orangé
Orchidée
Paille
Pêche
Perle
Pervenche
Pierre
Pistache
Platine
Prune
Quartz
Rose
Rose bonbon
Rose dragée
Rose fuchsia
Rose pâle
Rouge
Rouge bordeaux
Rouge cerise
Rouge coquelicot
Rouge corail
Rouge grenat
Rouge sang
Rouge tomate
Rouille
Rubis
Sable
Safran
Saumon
Sépia
Sienne
Taupe
Terracotta
Tomette
Topaze
Tournesol
Turquoise
Vanille
Vert
Vert anis
Vert bouteille
Vert clair
Vert d’eau
Vert émeraude
Vert fluo
Vert foncé
Vert kaki
Vert menthe
Vert mousse
Vert olive
Vert pâle
Vert pomme
Vert sapin
Vert tilleul
Vert turquoise
Violet
Violet aubergine
Violet clair
Violet foncé
Zinc
