Objet
Agenda
Aiguille
Allumette
Anse
Appareil photo
Armoire
Aspirateur
Assiette
Ballon
Balai
Bande dessinée
Baromètre
Batterie
Bic
Bière
Bijou
Bloc-notes
Boîte
Bonnette
Bonneterie
Bouchon
Bouilloire
Boussole
Bouteille
Brosse
Bureau
Cahier
Calendrier
Canapé
Casserole
Casque
Cendrier
Chaise
Chandelle
Chargeur
Charnière
Chauffage
Chaussure
Chemise
Clé
Clavier
Clé USB
Coffre
Coffret
Coffret à bijoux
Collier
Commode
Compas
Console
Couverture
Crayon
Cuillère
Cuir
Cutter
Dé
Décapsuleur
Dictionnaire
Disque
Disque dur
Douche
Drap
Écouteur
Écran
Éponge
Équerre
Étagère
Étui
Feuille
Fer à repasser
Filet
Fil
Flaque
Flûte
Fusil
Gobelet
Grille-pain
Horloge
Imprimante
Instrument
Lampe
Lampe de poche
Lanterne
Livre
Lunette
Machine à laver
Magnet
Mallette
Manette
Marteau
Matelas
Micro-onde
Miroir
Mètre
Montre
Mouchoir
Mug
Objet connecté
Ordinateur
Oreiller
Palette
Panier
Papier
Parapluie
Peigne
Pelle
Pendulette
Perceuse
Piano
Pince
Plafonnier
Pochette
Poêle
Pointeur
Pommeau
Porte
Portefeuille
Portemanteau
Poubelle
Prise
Projecteur
Radio
Règle
Rideau
Robe
Sac
Sac à dos
Sacoche
Savon
Scanner
Scie
Scotch
Serrure
Serviette
Stylo
Télécommande
Téléphone
Télévision
Tiroir
Tissu
Toile
Tondeuse
Torchon
Tournevis
Trousse
Tuyau
Valise
Vase
Ventilateur
Verre
Veste
Vélo
