Fruit
Abricot
Açaï
Airelle
Ananas
Avocat
Baie de Goji
Banane
Cactus (figue de barbarie)
Canneberge
Carambole
Cassissier (cassis)
Cerise
Châtaigne
Citron
Citron vert
Clémentine
Coco
Cranberry
Curuba
Datte
Durian
Feijoa
Figue
Figue de Barbarie
Fraise
Framboise
Fruit de la passion
Goyave
Grenade
Groseille
Groseille à maquereau
Jaboticaba
Jacquier
Jujube
Kaki
Kiwano (melon cornu)
Kiwi
Kumquat
Lime
Litchi
Longane
Lucuma
Mandarine
Mangoustan
Mangue
Melon
Mirabelle
Mûre
Myrtille
Nashi (poire japonaise)
Nectarine
Noix de coco
Olive
Orange
Papaye
Pastèque
Pêche
Pêche de vigne
Physalis
Pineberry
Pitaya (fruit du dragon)
Plantain
Poire
Pomme
Pomme grenade
Pomelo
Prune
Pruneau
Raisin
Ramboutan
Salak (fruit-serpent)
Sapotille
Sorbe
Sudachi
Tamarin
Tamarillo
Tangor
Tomate
Ugli
Ziziphus
